verb	verb_present	verb_past
'arbour	'arbours	'arboured
'ave	'as	'ad
'clare	'clares	'clared
'elp	'elps	'elped
'it	'its	'it
'low	'lows	'lowed
'onour	'onours	'onoured
'phone	'phones	'phoned
'prentice	'prentices	'prenticed
'scuse	'scuses	'scused
'umble	'umbles	'umbled
'umour	'umours	'umoured
'urry	'urries	'urried
3rd	3rds	3rded
86	86es	86ed
911	911s	911ed
AND	ANDs	ANDed
ASBO	ASBOs	ASBOed
ASCIIfy	ASCIIfies	ASCIIfied
Africanise	Africanises	Africanised
Africanize	Africanizes	Africanized
Ajaxify	Ajaxifies	Ajaxified
Alaskanize	Alaskanizes	Alaskanized
Amazon	Amazons	Amazoned
Americanise	Americanises	Americanised
Americanize	Americanizes	Americanized
Anglify	Anglifies	Anglified
Arabianize	Arabianizes	Arabianized
Arabicize	Arabicizes	Arabicized
Arabise	Arabises	Arabised
Arabize	Arabizes	Arabized
Arianize	Arianizes	Arianized
Aryanize	Aryanizes	Aryanized
Asianize	Asianizes	Asianized
Astroturf	Astroturfs	Astroturfed
Atticize	Atticizes	Atticized
Australianise	Australianises	Australianised
Australianize	Australianizes	Australianized
Australize	Australizes	Australized
BBM	BBMs	BBMed
BBQ	BBQs	BBQed
BM	BMs	BMed
Balkanise	Balkanises	Balkanised
Balkanize	Balkanizes	Balkanized
Bangalore	Bangalores	Bangalored
Barnumize	Barnumizes	Barnumized
Batmobile	Batmobiles	Batmobiled
Betamax	Betamaxes	Betamaxed
Bigfoot	Bigfoots	Bigfooted
BlackBerry	BlackBerries	BlackBerried
Borg	Borgs	Borged
Bork	Borks	Borked
Bowdlerise	Bowdlerises	Bowdlerised
Bowdlerize	Bowdlerizes	Bowdlerized
Britpick	Britpicks	Britpicked
Buddhize	Buddhizes	Buddhized
CD	CDs	CDed
Californianize	Californianizes	Californianized
Calvinise	Calvinises	Calvinised
Calvinize	Calvinizes	Calvinized
Canadianise	Canadianises	Canadianised
Canadianize	Canadianizes	Canadianized
Catalanize	Catalanizes	Catalanized
Catholicise	Catholicises	Catholicised
Catholicize	Catholicizes	Catholicized
Celticize	Celticizes	Celticized
Charlieplex	Charlieplexes	Charlieplexed
Christianise	Christianises	Christianised
Christianize	Christianizes	Christianized
Clintonize	Clintonizes	Clintonized
Columbus	Columbuses	Columbused
Croatianise	Croatianises	Croatianised
Croatianize	Croatianizes	Croatianized
Croatise	Croatises	Croatised
Croatize	Croatizes	Croatized
Cumberbatch	Cumberbatches	Cumberbatched
D/L	D/Ls	D/Led
DCd	DCds	DCded
DIY	DIYs	DIYed
DJ	DJs	DJed
DL	DLs	DLed
DMCA	DMCAs	DMCAed
Danicise	Danicises	Danicised
Danicize	Danicizes	Danicized
Danify	Danifies	Danified
Darwinize	Darwinizes	Darwinized
Dolbyize	Dolbyizes	Dolbyized
Dutchify	Dutchifies	Dutchified
Earthscape	Earthscapes	Earthscaped
Edenize	Edenizes	Edenized
Egyptianize	Egyptianizes	Egyptianized
Egyptize	Egyptizes	Egyptized
Emiratise	Emiratises	Emiratised
Emiratize	Emiratizes	Emiratized
English	Englishes	Englished
Englishify	Englishifies	Englishified
Ethiopianize	Ethiopianizes	Ethiopianized
Europeanise	Europeanises	Europeanised
Europeanize	Europeanizes	Europeanized
FIF	FIFs	FIFed
FOIL	FOILs	FOILed
FTP	FTPs	FTPed
Facebook	Facebooks	Facebooked
FedEx	FedExes	FedExed
Fennicize	Fennicizes	Fennicized
Finnicise	Finnicises	Finnicised
Finnicize	Finnicizes	Finnicized
French	Frenches	Frenched
Frenchify	Frenchifies	Frenchified
Frisbee	Frisbees	Frisbeed
GI	GIs	GIed
GIF	GIFs	GIFed
Gasconade	Gasconades	Gasconaded
Germanify	Germanifies	Germanified
Germanize	Germanizes	Germanized
Gmail	Gmails	Gmailed
Godcast	Godcasts	Godcast
Google	Googles	Googled
Gothicise	Gothicises	Gothicised
Gothicize	Gothicizes	Gothicized
Hawaiianize	Hawaiianizes	Hawaiianized
Hebraicize	Hebraicizes	Hebraicized
Hebraize	Hebraizes	Hebraized
Hellenise	Hellenises	Hellenised
Hellenize	Hellenizes	Hellenized
Hibernicize	Hibernicizes	Hibernicized
Hispanicize	Hispanicizes	Hispanicized
Hollywoodize	Hollywoodizes	Hollywoodized
Horlicks	Horlickses	Horlicksed
Houdini	Houdinis	Houdinied
ICQ	ICQs	ICQed
ID	IDs	IDed
IRC	IRCs	IRCed
